P11142
Q6PJT7
P35611
P04181
P30876
P33991
P53396
Q6UB35
P23246
P08195
O43390
P50914
P60709
P28331
P45880
P24941
P36578
P11177
P60842
P49411
O75533
O14776
P13473
Q4VCS5
Q93009
P25685
P23511
P23378
P68400
Q13435
Q13308
P42704
P35658
P51003
O75400
P62308
P35579
Q9H0A0
P04406
P38919
P78371
P31943
O15145
Q12906
Q16778
P12277
Q9P2N5
P62701
O43852
P34932
Q02809
P05023
P39023
P14618
Q9UJ14
P25789
P11388
Q00610
Q08211
Q92947
P49848
Q13740
P49591
P06733
P62820
Q6IA86
Q9GZT8
Q9H7B2
Q02790
P0DMV9
P21964
P50990
O00592
P42892
P62195
P31930
Q99426
Q15029
P25705
Q99729
Q92973
Q7L0Y3
P49327
P78527
O75131
P61221
Q01082
P09960
Q2TAL8
O43175
O95373
P11498
Q92542
A3KN83
Q12797
A1L0T0
Q14204
P39656
Q9H0D6
O00743
P62277
P09884
P23526
P37198
P41250
P61247
P08238
P27816
Q96KR1
P46060
P10155
Q9Y4L1
Q99538
Q9NYU2
Q9NYK5
P46782
P12956
P35606
P50995
P48147
O60506
Q15758
P56192
Q7KZF4
Q9Y6Y8
Q12907
Q9H078
P16278
Q13557
P17987
P27694
P62854
Q6PI48
Q8WUM0
Q9HC38
P38646
Q9HDC9
Q9H583
P13797
P07900
P18583
Q8IWZ3
P49588
Q04637
P14406
P41223
O75643
Q7Z3K3
Q9H488
P07686
Q8TEM1
Q9ULT8
Q9Y3B3
Q13620
Q01518
P16615
P50991
P12004
A5YKK6
Q6P2Q9
xxx1
O15355
Q7LBC6
P10809
P05166
Q7Z3B4
P05165
Q14318
Q13616
Q9BVL2
P00492
Q9UMX0
O00268
Q9P2J5
Q7Z6Z7
P54578
Q99832
P19338
P54727
O00505
Q08380
P41252
P05388
Q5UIP0
P31948
P63241
P78310
P09211
O75179
Q92879
Q12830
O95232
Q9UHB9
P40939
P49915
O43615
Q9Y4P1
Q5RKV6
P30044
Q9Y262
Q14558
P09622
P62081
P36873
P11717
Q14152
P52209
P31939
Q92797
P62136
Q5JPE7
Q8TEQ6
O43242
P20700
Q15084
P04843
Q9Y2L1
P63104
O15226
Q9Y5L0
P42285
Q9P2I0
O60264
Q5VT52
P14550
O43747
O95202
P40227
Q86UP2
P46977
Q92734
P13639
Q9UHY1
Q01581
Q6UN15
Q13492
Q8NC51
Q71RC2
Q14160
Q16718
Q9BZE4
Q9UL25
P19022
P55060
Q9H9A6
P33527
P35580
P16435
Q16762
P31327
Q9GZP4
P43005
Q14157
Q2M389
Q12905
O00410
Q14839
P62258
Q9UBU9
P68363
P35637
O95376
O00567
P35251
Q9Y287
O60271
Q9BX68
P13010
Q92616
P15311
P24752
P22314
P27708
P22670
P52597
P26641
O60613
P30041
P62266
Q9Y295
O15067
P10515
Q15031
Q9Y4B4
Q15750
P55072
P17980
P14625
P62140
P06576
O75489
Q9H845
P15586
Q9Y6M7
P12268
Q14683
Q14980
P35268
P61978
Q9ULV4
Q14008
Q9UBF2
Q8IWX8
Q99623
P13667
P54819
Q9NQH7
Q16543
Q14166
Q15269
Q6ZRS2
Q13310
P52272
Q16513
Q96P70
O43776
Q96ST3
Q8TAE8
Q92945
Q68EM7
Q8IZD4
P40925
O14974
O94979
P62241
P51610
Q14103
Q2KHR3
Q8NCN5
P24534
O43491
P00918
P22102
P62753
Q99459
Q13085
Q96M27
P49368
Q08J23
O95747
Q9UEY8
P51659
Q96T37
P48643
Q86VP6
Q13263
O75874
Q6L8Q7
P62910
P06748
Q9Y678
P14859
P57740
O14773
Q16891
Q13813
Q9NTZ6
Q9UHX1
P32969
Q13045
P35241
Q14974
P23528
Q9NR30
P27824
Q15648
P35613
P11171
O95573
P00403
Q92499
P07237
P55209
Q92621
P51148
O95486
Q12769
Q9BTC0
Q1KMD3
Q9NTJ3
Q15738
Q9H6E4
P17844
O75083
Q5SRD1
Q9UPN9
Q15233
O43432
P13804
Q02487
P05387
B5ME19
Q92769
Q13243
P33316
Q9NTI5
O95487
P30048
P51149
P40926
Q9UBQ5
Q8WUM4
Q06330
P60900
Q53H12
O00231
O75439
P23284
A8CG34
O60664
P68104
Q9H4W6
P23396
P14868
O60885
Q14108
P49792
P40763
Q9Y4W2
O00571
P41091
Q07021
P07954
P55265
P04350
P62888
Q15054
P49189
P51571
Q53GQ0
Q9BW27
P39687
P23229
Q92598
P33992
Q9Y265
P36551
Q14C86
P31689
Q12931
P07437
P06737
O60763
P63244
P26639
Q14444
O94991
P52948
Q32P28
P30520
Q99816
Q9Y520
Q15417
Q13123
Q13618
Q6PGP7
P12270
O94842
P62316
P23634
P61081
P18206
O00154
P08243
P50502
Q01105
Q9P2B2
Q99961
Q9Y3Z3
P23381
Q9Y617
Q9Y3B4
P07602
O95347
O00232
P19367
P07355
P51532
P67870
Q96S59
P52306
Q14739
P21266
Q5ZPR3
P00387
O75054
Q07954
O60488
O14929
O43592
Q96CX2
P45974
Q96CS3
P62333
P00558
P30101
P21333
Q92878
Q9NTK5
O43290
Q9Y230
Q05519
Q96S52
Q13838
P55884
Q9UJS0
Q16222
P37802
P30153
P11021
Q5VYK3
P49821
P29401
Q13561
Q9BQ67
Q16134
P33176
Q15637
P54577
P31350
Q16850
Q00839
P11387
P36957
Q9NQG5
P36776
Q9BXW9
P54687
Q96AG4
P29692
Q5TFE4
P61158
P12814
Q9Y2U8
P22234
O14744
P43304
Q8ND56
Q9NX58
Q9UHD9
O60610
P52292
P07814
O75477
P35221
Q9UJC3
Q04917
P14866
Q13642
O95297
Q9H8Y8
P09661
Q5T6F2
O43524
Q969N2
Q7Z6E9
Q969V3
Q9NSE4
Q9BYP7
P53041
P18754
P16402
Q99873
Q5JTH9
P18621
P41240
Q14126
P10586
Q15459
Q04721
Q9H4I2
Q13409
O43172
P15121
O75369
Q92841
Q7Z2W4
O95292
P50395
P22087
P09874
Q9P2R7
Q96AC1
P38117
P43246
P62280
P22830
Q5T8P6
O15118
O00148
P35232
Q5VZL5
Q9BUJ2
P39748
P27540
O14497
O00299
Q9Y6X5
P27695
O00267
Q93050
Q9NQ29
P32519
Q9NYV4
P17301
P55197
Q9P258
Q99504
Q01844
Q96J84
Q9NTW7
P28074
P20645
Q9Y2X3
P26038
P53985
Q02543
Q15293
P23921
