TreatmentGroups,Channel,P22626,P31946-2,P51991,P60660,P62805,P63104,Q96KR1,Q99453,Q9BXW7,Q9H4A3-4,Q9H560,Q9UKY4
0,127N,13.34378133,14.51485546,10.7367156,12.14651731,19.78358931,11.35873355,9.477261809,17.96886189,15.07577897,10.92681996,11.4846741,14.42385677
0,128N,12.98171846,13.06638542,10.12569318,11.59379681,18.91591197,11.4835311,8.976650825,16.68432832,14.14838904,10.3848408,10.71681508,12.18346764
0,128C,11.4761987,12.64219001,9.439890465,10.51111912,16.63628728,10.84451797,8.470474493,15.66848031,13.10441514,9.712259681,10.04083909,12.80518165
1,129N,9.104568597,11.96833007,6.509253005,12.33150465,11.38568367,11.14679506,8.264366123,13.74061685,10.96069882,5.806410276,10.5502081,10.54648688
1,129C,8.231113082,11.45509365,6.570974865,10.14031831,10.98118428,11.47192978,7.739581969,13.7976058,10.75678528,5.739543264,9.528233698,9.997648323
1,130N,8.666867249,12.45310278,6.872177726,10.67886112,11.29359579,12.14827692,8.096148067,13.96973682,11.64100918,5.98552899,10.48548767,10.61867207
1,130C,8.84325711,11.37039995,6.467653895,10.26248103,11.17052104,11.64326593,8.623893893,13.29843081,10.81866399,5.965625126,9.656554887,9.957461347
